Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Women,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,98,:,:,:
Anus,Women,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,87,:,:,:
Anus,Women,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,317,:,:,:
Anus,Women,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,317,:,:,:
Anus,Women,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,10,:,:,:
Anus,Women,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,24,:,:,:
Anus,Women,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,56,:,:,:
Anus,Women,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,61,55.5,41.0,69.9
Anus,Women,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,99,:,:,:
Anus,Women,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,250,47.8,38.2,57.4
Anus,Women,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,250,:,:,:
Anus,Women,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,55,:,:,:
Anus,Women,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,109,85.2,76.7,93.8
Anus,Women,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,133,71.1,60.3,81.8
Anus,Women,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,114,:,:,:
Anus,Women,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,213,26.0,16.3,35.7
Anus,Women,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,624,60.5,55.0,66.0
Anus,Women,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,624,:,:,:
Anus,Women,15-54,Non-standardised,All stages combined,5-years,2013-2017,England,938,77.2,73.3,81.0
Anus,Women,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,978,78.0,74.4,81.7
Anus,Women,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,970,73.2,68.9,77.5
Anus,Women,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,974,38.4,31.9,44.9
Anus,Women,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"3,860",66.6,64.1,69.1
Anus,Women,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"3,860",62.2,58.9,65.6
Anus,Persons,15-54,Non-standardised,Stage 1,1-year,2013-2017,England,196,99.1,97.7,100.6
Anus,Persons,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,199,99.6,98.6,100.6
Anus,Persons,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,164,98.3,95.7,101.0
Anus,Persons,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,140,100.3,96.5,104.0
Anus,Persons,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,699,99.5,98.4,100.6
Anus,Persons,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,699,99.3,98.0,100.7
Anus,Persons,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,72,94.6,89.3,99.8
Anus,Persons,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,223,97.6,95.5,99.7
Anus,Persons,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,323,95.3,92.8,97.7
Anus,Persons,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,379,94.0,91.3,96.7
Anus,Persons,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,332,87.8,83.4,92.1
Anus,Persons,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"1,329",93.4,91.8,94.9
Anus,Persons,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"1,329",92.9,91.2,94.6
Anus,Persons,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,132,93.3,89.0,97.6
Anus,Persons,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,378,94.7,92.4,97.0
Anus,Persons,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,524,95.4,93.5,97.3
Anus,Persons,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,499,90.8,88.1,93.5
